Dist,Strokes
100,2.92
110,2.96
120,2.99
130,2.98
140,2.97
150,2.98
160,2.99
170,3.02
180,3.05
190,3.09
200,3.12
210,3.15
220,3.17
230,3.21
240,3.25
250,3.35
260,3.45
270,3.55
280,3.65
290,3.68
300,3.71
310,3.75
320,3.79
330,3.83
340,3.86
350,3.89
360,3.92
370,3.94
380,3.96
390,3.98
400,3.99
410,4.01
420,4.02
430,4.05
440,4.08
450,4.13
460,4.17
470,4.23
480,4.28
490,4.35
500,4.41
510,4.48
520,4.54
530,4.60
540,4.65
550,4.70
560,4.74
570,4.77
580,4.79
590,4.81
600,4.82
